INTERNATIONAL BUSINESS MACHINES CO;0,23;US4592001014;IT;Verenigde Staten
SHOPIFY SUBORDINATE VOTING INC CLA;0,23;CA82509L1076;IT;Canada
ROYAL BANK OF CANADA;0,23;CA7800871021;Financiële waarden;Canada
STARBUCKS CORP;0,22;US8552441094;Luxe-consumentengoederen;Verenigde Staten
GLAXOSMITHKLINE PLC;0,22;GB0009252882;Gezondheidszorg;Verenigd Koninkrijk
TOTAL;0,21;FR0000120271;Energie;Frankrijk
SONY CORP;0,21;JP3435000009;Luxe-consumentengoederen;Japan
LOCKHEED MARTIN CORP;0,21;US5398301094;Industrie;Verenigde Staten
WELLS FARGO;0,21;US9497461015;Financiële waarden;Verenigde Staten
ADVANCED MICRO DEVICES INC;0,21;US0079031078;IT;Verenigde Staten
3M;0,2;US88579Y1010;Industrie;Verenigde Staten
CSL LTD;0,2;AU000000CSL8;Gezondheidszorg;Australië
RAYTHEON TECHNOLOGIES CORP;0,2;US75513E1010;Industrie;Verenigde Staten
FIDELITY NATIONAL INFORMATION SERV;0,2;US31620M1062;IT;Verenigde Staten
TORONTO DOMINION;0,2;CA8911605092;Financiële waarden;Canada
COMMONWEALTH BANK OF AUSTRALIA;0,2;AU000000CBA7;Financiële waarden;Australië
BOEING;0,2;US0970231058;Industrie;Verenigde Staten
ALLIANZ;0,2;DE0008404005;Financiële waarden;Duitsland
CHARTER COMMUNICATIONS INC CLASS A;0,19;US16119P1084;Communicatie;Verenigde Staten
SOFTBANK GROUP CORP;0,19;JP3436100006;Communicatie;Japan
BLACKROCK INC;0,19;US09247X1019;Financiële waarden;Verenigde Staten
HSBC HOLDINGS PLC;0,19;GB0005405286;Financiële waarden;Verenigd Koninkrijk
SERVICENOW INC;0,19;US81762P1021;IT;Verenigde Staten
INTUIT INC;0,19;US4612021034;IT;Verenigde Staten
INTUITIVE SURGICAL INC;0,19;US46120E6023;Gezondheidszorg;Verenigde Staten
S&P GLOBAL INC;0,18;US78409V1044;Financiële waarden;Verenigde Staten
GILEAD SCIENCES INC;0,18;US3755581036;Gezondheidszorg;Verenigde Staten
LOREAL SA;0,18;FR0000120321;Basis-consumentengoederen;Frankrijk
UNILEVER NV;0,18;NL0000388619;Basis-consumentengoederen;Nederland
MONDELEZ INTERNATIONAL INC CLASS A;0,18;US6092071058;Basis-consumentengoederen;Verenigde Staten
BHP GROUP LTD;0,18;AU000000BHP4;Materialen;Australië
BRITISH AMERICAN TOBACCO PLC;0,17;GB0002875804;Basis-consumentengoederen;Verenigd Koninkrijk
ALTRIA GROUP INC;0,17;US02209S1033;Basis-consumentengoederen;Verenigde Staten
DIAGEO PLC;0,17;GB0002374006;Basis-consumentengoederen;Verenigd Koninkrijk
LAIR LIQUIDE SOCIETE ANONYME POUR;0,17;FR0000120073;Materialen;Frankrijk
BOOKING HOLDINGS INC;0,17;US09857L1089;Luxe-consumentengoederen;Verenigde Staten
CVS HEALTH CORP;0,17;US1266501006;Gezondheidszorg;Verenigde Staten
CATERPILLAR INC;0,17;US1491231015;Industrie;Verenigde Staten
CANADIAN NATIONAL RAILWAY;0,17;CA1363751027;Industrie;Canada
IBERDROLA SA;0,17;ES0144580Y14;Nutsbedrijven;Spanje
KEYENCE CORP;0,16;JP3236200006;IT;Japan
ENEL;0,16;IT0003128367;Nutsbedrijven;Italië
TARGET CORP;0,16;US87612E1064;Luxe-consumentengoederen;Verenigde Staten
PROLOGIS REIT INC;0,16;US74340W1036;Vastgoed;Verenigde Staten
ZOETIS INC CLASS A;0,16;US98978V1035;Gezondheidszorg;Verenigde Staten
AMERICAN EXPRESS;0,16;US0258161092;Financiële waarden;Verenigde Staten
RIO TINTO PLC;0,16;GB0007188757;Materialen;Verenigd Koninkrijk
BP PLC;0,15;GB0007980591;Energie;Verenigd Koninkrijk
UNILEVER PLC;0,15;GB00B10RZP78;Basis-consumentengoederen;Verenigd Koninkrijk
BECTON DICKINSON;0,15;US0758871091;Gezondheidszorg;Verenigde Staten
CROWN CASTLE INTERNATIONAL REIT CO;0,15;US22822V1017;Vastgoed;Verenigde Staten
GOLDMAN SACHS GROUP INC;0,15;US38141G1040;Financiële waarden;Verenigde Staten
SCHNEIDER ELECTRIC;0,15;FR0000121972;Industrie;Frankrijk
ANTHEM INC;0,15;US0367521038;Gezondheidszorg;Verenigde Staten
VERTEX PHARMACEUTICALS INC;0,15;US92532F1003;Gezondheidszorg;Verenigde Staten
DOMINION ENERGY INC;0,15;US25746U1097;Nutsbedrijven;Verenigde Staten
EQUINIX REIT INC;0,15;US29444U7000;Vastgoed;Verenigde Staten
RECKITT BENCKISER GROUP PLC;0,15;GB00B24CGK77;Basis-consumentengoederen;Verenigd Koninkrijk
TJX INC;0,15;US8725401090;Luxe-consumentengoederen;Verenigde Staten
CIGNA CORP;0,14;US1255231003;Gezondheidszorg;Verenigde Staten
AIR PRODUCTS AND CHEMICALS INC;0,14;US0091581068;Materialen;Verenigde Staten
STRYKER CORP;0,14;US8636671013;Gezondheidszorg;Verenigde Staten
MORGAN STANLEY;0,14;US6174464486;Financiële waarden;Verenigde Staten
COLGATE-PALMOLIVE;0,14;US1941621039;Basis-consumentengoederen;Verenigde Staten
DEERE;0,14;US2441991054;Industrie;Verenigde Staten
BAYER AG;0,14;DE000BAY0017;Gezondheidszorg;Duitsland
T MOBILE US INC;0,14;US8725901040;Communicatie;Verenigde Staten
ENBRIDGE INC;0,14;CA29250N1050;Energie;Canada
NINTENDO LTD;0,14;JP3756600007;Communicatie;Japan
ROYAL DUTCH SHELL PLC;0,14;GB00B03MLX29;Energie;Verenigd Koninkrijk
ILLINOIS TOOL INC;0,14;US4523081093;Industrie;Verenigde Staten
CME GROUP INC CLASS A;0,13;US12572Q1058;Financiële waarden;Verenigde Staten
ACTIVISION BLIZZARD INC;0,13;US00507V1098;Communicatie;Verenigde Staten
DEUTSCHE TELEKOM N AG;0,13;DE0005557508;Communicatie;Duitsland
ZOOM VIDEO COMMUNICATIONS INC CLAS;0,13;US98980L1017;IT;Verenigde Staten
ADIDAS N AG;0,13;DE000A1EWWW0;Luxe-consumentengoederen;Duitsland
DUKE ENERGY CORP;0,13;US26441C2044;Nutsbedrijven;Verenigde Staten
FISERV INC;0,13;US3377381088;IT;Verenigde Staten
REGENERON PHARMACEUTICALS INC;0,13;US75886F1075;Gezondheidszorg;Verenigde Staten
AUTOMATIC DATA PROCESSING INC;0,13;US0530151036;IT;Verenigde Staten
CSX CORP;0,13;US1264081035;Industrie;Verenigde Staten
BOSTON SCIENTIFIC CORP;0,12;US1011371077;Gezondheidszorg;Verenigde Staten
ZURICH INSURANCE GROUP AG;0,12;CH0011075394;Financiële waarden;Zwitserland
CHUBB LTD;0,12;CH0044328745;Financiële waarden;Verenigde Staten
APPLIED MATERIAL INC;0,12;US0382221051;IT;Verenigde Staten
TAKEDA PHARMACEUTICAL LTD;0,12;JP3463000004;Gezondheidszorg;Japan
BASF N;0,12;DE000BASF111;Materialen;Duitsland
MARSH & MCLENNAN INC;0,12;US5717481023;Financiële waarden;Verenigde Staten
PROGRESSIVE CORP;0,12;US7433151039;Financiële waarden;Verenigde Staten
HUMANA INC;0,12;US4448591028;Gezondheidszorg;Verenigde Staten
GENERAL ELECTRIC;0,12;US3696041033;Industrie;Verenigde Staten
INTERCONTINENTAL EXCHANGE INC;0,12;US45866F1049;Financiële waarden;Verenigde Staten
HONG KONG EXCHANGES AND CLEARING L;0,12;HK0388045442;Financiële waarden;Hong Kong
NORTHROP GRUMMAN CORP;0,12;US6668071029;Industrie;Verenigde Staten
SHERWIN WILLIAMS;0,12;US8243481061;Materialen;Verenigde Staten
FEDEX CORP;0,12;US31428X1063;Industrie;Verenigde Staten
TRUIST FINANCIAL CORP;0,12;US89832Q1094;Financiële waarden;Verenigde Staten
VINCI SA;0,12;FR0000125486;Industrie;Frankrijk
NORFOLK SOUTHERN CORP;0,12;US6558441084;Industrie;Verenigde Staten
SOUTHERN;0,12;US8425871071;Nutsbedrijven;Verenigde Staten
KIMBERLY CLARK CORP;0,11;US4943681035;Basis-consumentengoederen;Verenigde Staten
BARRICK GOLD CORP;0,11;CA0679011084;Materialen;Canada
US BANCORP;0,11;US9029733048;Financiële waarden;Verenigde Staten
SQUARE INC CLASS A;0,11;US8522341036;IT;Verenigde Staten
NEWMONT;0,11;US6516391066;Materialen;Verenigde Staten
BANK OF NOVA SCOTIA;0,11;CA0641491075;Financiële waarden;Canada
ILLUMINA INC;0,11;US4523271090;Gezondheidszorg;Verenigde Staten
ROYAL DUTCH SHELL PLC CLASS B;0,11;GB00B03MM408;Energie;Verenigd Koninkrijk
KERING SA;0,11;FR0000121485;Luxe-consumentengoederen;Frankrijk
ESTEE LAUDER INC CLASS A;0,11;US5184391044;Basis-consumentengoederen;Verenigde Staten
MICRON TECHNOLOGY INC;0,11;US5951121038;IT;Verenigde Staten
MITSUBISHI UFJ FINANCIAL GROUP INC;0,11;JP3902900004;Financiële waarden;Japan
EDWARDS LIFESCIENCES CORP;0,11;US28176E1082;Gezondheidszorg;Verenigde Staten
AIRBUS GROUP;0,11;NL0000235190;Industrie;Frankrijk
RECRUIT HOLDINGS LTD;0,11;JP3970300004;Industrie;Japan
ECOLAB INC;0,11;US2788651006;Materialen;Verenigde Staten
ABB LTD;0,11;CH0012221716;Industrie;Zwitserland
AUTODESK INC;0,11;US0527691069;IT;Verenigde Staten
GLOBAL PAYMENTS INC;0,11;US37940X1028;IT;Verenigde Staten
DOLLAR GENERAL CORP;0,11;US2566771059;Luxe-consumentengoederen;Verenigde Staten
BNP PARIBAS SA;0,11;FR0000131104;Financiële waarden;Frankrijk
BHP GROUP PLC;0,11;GB00BH0P3Z91;Materialen;Verenigd Koninkrijk
PNC FINANCIAL SERVICES GROUP INC;0,11;US6934751057;Financiële waarden;Verenigde Staten
MERCADOLIBRE INC;0,1;US58733R1023;Luxe-consumentengoederen;Verenigde Staten
DAIMLER AG;0,1;DE0007100000;Luxe-consumentengoederen;Duitsland
LAM RESEARCH CORP;0,1;US5128071082;IT;Verenigde Staten
PROSUS NV;0,1;NL0013654783;Luxe-consumentengoederen;Nederland
DAIKIN INDUSTRIES LTD;0,1;JP3481800005;Industrie;Japan
MOODYS CORP;0,1;US6153691059;Financiële waarden;Verenigde Staten
DAIICHI SANKYO LTD;0,1;JP3475350009;Gezondheidszorg;Japan
WASTE MANAGEMENT INC;0,1;US94106L1098;Industrie;Verenigde Staten
UBS GROUP AG;0,1;CH0244767585;Financiële waarden;Zwitserland
WESTPAC BANKING CORPORATION CORP;0,1;AU000000WBC1;Financiële waarden;Australië
AON PLC CLASS A;0,1;IE00BLP1HW54;Financiële waarden;Verenigde Staten
RELX PLC;0,1;GB00B2B0DG97;Industrie;Verenigd Koninkrijk
BIOGEN INC;0,1;US09062X1037;Gezondheidszorg;Verenigde Staten
KDDI CORP;0,1;JP3496400007;Communicatie;Japan
SHIN ETSU CHEMICAL LTD;0,1;JP3371200001;Materialen;Japan
ANHEUSER BUSCH INBEV NV;0,1;BE0974293251;Basis-consumentengoederen;België
LULULEMON ATHLETICA INC;0,1;US5500211090;Luxe-consumentengoederen;Verenigde Staten
CHARLES SCHWAB CORP;0,1;US8085131055;Financiële waarden;Verenigde Staten
DUPONT DE NEMOURS INC;0,1;US26614N1028;Materialen;Verenigde Staten
ROPER TECHNOLOGIES INC;0,1;US7766961061;Industrie;Verenigde Staten
ANALOG DEVICES INC;0,1;US0326541051;IT;Verenigde Staten
TC ENERGY CORP;0,1;CA87807B1076;Energie;Canada
KONINKLIJKE PHILIPS NV;0,1;NL0000009538;Gezondheidszorg;Nederland
LONZA GROUP AG;0,09;CH0013841017;Gezondheidszorg;Zwitserland
DEUTSCHE POST AG;0,09;DE0005552004;Industrie;Duitsland
BROOKFIELD ASSET MANAGEMENT INC CL;0,09;CA1125851040;Financiële waarden;Canada
MUENCHENER RUECKVERSICHERUNGS-GESE;0,09;DE0008430026;Financiële waarden;Duitsland
EMERSON ELECTRIC;0,09;US2910111044;Industrie;Verenigde Staten
HONDA MOTOR LTD;0,09;JP3854600008;Luxe-consumentengoederen;Japan
NATIONAL AUSTRALIA BANK LTD;0,09;AU000000NAB4;Financiële waarden;Australië
DANONE SA;0,09;FR0000120644;Basis-consumentengoederen;Frankrijk
BAXTER INTERNATIONAL INC;0,09;US0718131099;Gezondheidszorg;Verenigde Staten
EATON PLC;0,09;IE00B8KQN827;Industrie;Verenigde Staten
L3HARRIS TECHNOLOGIES INC;0,09;US5024311095;Industrie;Verenigde Staten
NATIONAL GRID PLC;0,09;GB00BDR05C01;Nutsbedrijven;Verenigd Koninkrijk
CONOCOPHILLIPS;0,09;US20825C1045;Energie;Verenigde Staten
AXA SA;0,09;FR0000120628;Financiële waarden;Frankrijk
PRUDENTIAL PLC;0,09;GB0007099541;Financiële waarden;Verenigd Koninkrijk
WORKDAY INC CLASS A;0,09;US98138H1014;IT;Verenigde Staten
ELECTRONIC ARTS INC;0,09;US2855121099;Communicatie;Verenigde Staten
SUMITOMO MITSUI FINANCIAL GROUP IN;0,08;JP3890350006;Financiële waarden;Japan
GENERAL DYNAMICS CORP;0,08;US3695501086;Industrie;Verenigde Staten
HCA HEALTHCARE INC;0,08;US40412C1018;Gezondheidszorg;Verenigde Staten
AMERICAN ELECTRIC POWER INC;0,08;US0255371017;Nutsbedrijven;Verenigde Staten
HOYA CORP;0,08;JP3837800006;Gezondheidszorg;Japan
BANK OF MONTREAL;0,08;CA0636711016;Financiële waarden;Canada
CANADIAN PACIFIC RAILWAY LTD;0,08;CA13645T1003;Industrie;Canada
WESFARMERS LTD;0,08;AU000000WES1;Luxe-consumentengoederen;Australië
DIGITAL REALTY TRUST REIT INC;0,08;US2538681030;Vastgoed;Verenigde Staten
TOKYO ELECTRON LTD;0,08;JP3571400005;IT;Japan
VODAFONE GROUP PLC;0,08;GB00BH4HKS39;Communicatie;Verenigd Koninkrijk
ESSILORLUXOTTICA SA;0,08;FR0000121667;Luxe-consumentengoederen;Frankrijk
SAFRAN SA;0,08;FR0000073272;Industrie;Frankrijk
DEXCOM INC;0,08;US2521311074;Gezondheidszorg;Verenigde Staten
GENERAL MILLS INC;0,08;US3703341046;Basis-consumentengoederen;Verenigde Staten
FANUC CORP;0,08;JP3802400006;Industrie;Japan
ITOCHU CORP;0,08;JP3143600009;Industrie;Japan
DEUTSCHE BOERSE AG;0,08;DE0005810055;Financiële waarden;Duitsland
CHIPOTLE MEXICAN GRILL INC;0,08;US1696561059;Luxe-consumentengoederen;Verenigde Staten
OREILLY AUTOMOTIVE INC;0,08;US67103H1077;Luxe-consumentengoederen;Verenigde Staten
COGNIZANT TECHNOLOGY SOLUTIONS COR;0,08;US1924461023;IT;Verenigde Staten
INTESA SANPAOLO;0,08;IT0000072618;Financiële waarden;Italië
VONOVIA SE;0,08;DE000A1ML7J1;Vastgoed;Duitsland
AUSTRALIA AND NEW ZEALAND BANKING;0,08;AU000000ANZ3;Financiële waarden;Australië
PERNOD RICARD SA;0,08;FR0000120693;Basis-consumentengoederen;Frankrijk
BANCO SANTANDER SA;0,08;ES0113900J37;Financiële waarden;Spanje
DOW INC;0,08;US2605571031;Materialen;Verenigde Staten
GIVAUDAN SA;0,08;CH0010645932;Materialen;Zwitserland
DOCUSIGN INC;0,08;US2561631068;IT;Verenigde Staten
GENERAL MOTORS;0,08;US37045V1008;Luxe-consumentengoederen;Verenigde Staten
VEEVA SYSTEMS INC CLASS A;0,08;US9224751084;Gezondheidszorg;Verenigde Staten
EBAY INC;0,08;US2786421030;Luxe-consumentengoederen;Verenigde Staten
NIDEC CORP;0,08;JP3734800000;Industrie;Japan
XCEL ENERGY INC;0,08;US98389B1008;Nutsbedrijven;Verenigde Staten
FAST RETAILING LTD;0,08;JP3802300008;Luxe-consumentengoederen;Japan
SEMPRA ENERGY;0,08;US8168511090;Nutsbedrijven;Verenigde Staten
COMPAGNIE FINANCIERE RICHEMONT SA;0,08;CH0210483332;Luxe-consumentengoederen;Zwitserland
KONINKLIJKE AHOLD DELHAIZE NV;0,08;NL0011794037;Basis-consumentengoederen;Nederland
CENTENE CORP;0,08;US15135B1017;Gezondheidszorg;Verenigde Staten
MURATA MANUFACTURING LTD;0,08;JP3914400001;IT;Japan
ROSS STORES INC;0,08;US7782961038;Luxe-consumentengoederen;Verenigde Staten
NXP SEMICONDUCTORS NV;0,08;NL0009538784;IT;Verenigde Staten
KAO CORP;0,08;JP3205800000;Basis-consumentengoederen;Japan
BLACKSTONE GROUP INC CLASS A;0,08;US09260D1072;Financiële waarden;Verenigde Staten
EXELON CORP;0,08;US30161N1019;Nutsbedrijven;Verenigde Staten
WOOLWORTHS GROUP LTD;0,08;AU000000WOW2;Basis-consumentengoederen;Australië
MITSUBISHI CORP;0,08;JP3898400001;Industrie;Japan
INFINEON TECHNOLOGIES AG;0,07;DE0006231004;IT;Duitsland
CANADIAN IMPERIAL BANK OF COMMERCE;0,07;CA1360691010;Financiële waarden;Canada
CAPITAL ONE FINANCIAL CORP;0,07;US14040H1059;Financiële waarden;Verenigde Staten
TE CONNECTIVITY LTD;0,07;CH0102993182;IT;Verenigde Staten
SPLUNK INC;0,07;US8486371045;IT;Verenigde Staten
CONSTELLATION BRANDS INC CLASS A;0,07;US21036P1084;Basis-consumentengoederen;Verenigde Staten
DSV PANALPINA;0,07;DK0060079531;Industrie;Denemarken
SBA COMMUNICATIONS REIT CORP CLASS;0,07;US78410G1040;Vastgoed;Verenigde Staten
LONDON STOCK EXCHANGE GROUP PLC;0,07;GB00B0SWJX34;Financiële waarden;Verenigd Koninkrijk
MIZUHO FINANCIAL GROUP INC;0,07;JP3885780001;Financiële waarden;Japan
SIKA AG;0,07;CH0418792922;Materialen;Zwitserland
ING GROEP NV;0,07;NL0011821202;Financiële waarden;Nederland
MITSUI LTD;0,07;JP3893600001;Industrie;Japan
EXPERIAN PLC;0,07;GB00B19NLV48;Industrie;Verenigd Koninkrijk
VOLKSWAGEN NON-VOTING PREF AG;0,07;DE0007664039;Luxe-consumentengoederen;Duitsland
ERICSSON B;0,07;SE0000108656;IT;Zweden
COSTAR GROUP INC;0,07;US22160N1090;Industrie;Verenigde Staten
ATLAS COPCO CLASS A;0,07;SE0011166610;Industrie;Zweden
PUBLIC STORAGE REIT;0,07;US74460D1090;Vastgoed;Verenigde Staten
AMPHENOL CORP CLASS A;0,07;US0320951017;IT;Verenigde Staten
HITACHI LTD;0,07;JP3788600009;IT;Japan
MONSTER BEVERAGE CORP;0,07;US61174X1090;Basis-consumentengoederen;Verenigde Staten
TRAVELERS COMPANIES INC;0,07;US89417E1091;Financiële waarden;Verenigde Staten
BANK OF NEW YORK MELLON CORP;0,07;US0640581007;Financiële waarden;Verenigde Staten
KLA CORP;0,07;US4824801009;IT;Verenigde Staten
WEC ENERGY GROUP INC;0,07;US92939U1060;Nutsbedrijven;Verenigde Staten
NTT DOCOMO INC;0,07;JP3165650007;Communicatie;Japan
IDEXX LABORATORIES INC;0,07;US45168D1046;Gezondheidszorg;Verenigde Staten
CUMMINS INC;0,07;US2310211063;Industrie;Verenigde Staten
IQVIA HOLDINGS INC;0,07;US46266C1053;Gezondheidszorg;Verenigde Staten
JOHNSON CONTROLS INTERNATIONAL PLC;0,07;IE00BY7QL619;Industrie;Verenigde Staten
IHS MARKIT LTD;0,07;BMG475671050;Industrie;Verenigde Staten
UBER TECHNOLOGIES INC;0,07;US90353T1007;Industrie;Verenigde Staten
TRANE TECHNOLOGIES PLC;0,07;IE00BK9ZQ967;Industrie;Verenigde Staten
CADENCE DESIGN SYSTEMS INC;0,07;US1273871087;IT;Verenigde Staten
AGILENT TECHNOLOGIES INC;0,07;US00846U1016;Gezondheidszorg;Verenigde Staten
METLIFE INC;0,07;US59156R1086;Financiële waarden;Verenigde Staten
ANGLO AMERICAN PLC;0,07;GB00B1XZS820;Materialen;Verenigd Koninkrijk
COMPASS GROUP PLC;0,07;GB00BD6K4575;Luxe-consumentengoederen;Verenigd Koninkrijk
MSCI INC;0,07;US55354G1004;Financiële waarden;Verenigde Staten
ALIMENTATION COUCHE TARD SUB VOTIN;0,07;CA01626P4033;Basis-consumentengoederen;Canada
CINTAS CORP;0,07;US1729081059;Industrie;Verenigde Staten
HP INC;0,07;US40434L1052;IT;Verenigde Staten
YUM BRANDS INC;0,07;US9884981013;Luxe-consumentengoederen;Verenigde Staten
PPG INDUSTRIES INC;0,06;US6935061076;Materialen;Verenigde Staten
AUTOZONE INC;0,06;US0533321024;Luxe-consumentengoederen;Verenigde Staten
CHUGAI PHARMACEUTICAL LTD;0,06;JP3519400000;Gezondheidszorg;Japan
TESCO PLC;0,06;GB0008847096;Basis-consumentengoederen;Verenigd Koninkrijk
TWITTER INC;0,06;US90184L1026;Communicatie;Verenigde Staten
SYNOPSYS INC;0,06;US8716071076;IT;Verenigde Staten
MACQUARIE GROUP LTD DEF;0,06;AU000000MQG1;Financiële waarden;Australië
VESTAS WIND SYSTEMS;0,06;DK0010268606;Industrie;Denemarken
PACCAR INC;0,06;US6937181088;Industrie;Verenigde Staten
ALLSTATE CORP;0,06;US0200021014;Financiële waarden;Verenigde Staten
MARRIOTT INTERNATIONAL INC CLASS A;0,06;US5719032022;Luxe-consumentengoederen;Verenigde Staten
TOKIO MARINE HOLDINGS INC;0,06;JP3910660004;Financiële waarden;Japan
CRH PLC;0,06;IE0001827041;Materialen;Ierland
SMC (JAPAN) CORP;0,06;JP3162600005;Industrie;Japan
SYSCO CORP;0,06;US8718291078;Basis-consumentengoederen;Verenigde Staten
VOLVO CLASS B;0,06;SE0000115446;Industrie;Zweden
T ROWE PRICE GROUP INC;0,06;US74144T1088;Financiële waarden;Verenigde Staten
KROGER;0,06;US5010441013;Basis-consumentengoederen;Verenigde Staten
ASTELLAS PHARMA INC;0,06;JP3942400007;Gezondheidszorg;Japan
CREDIT SUISSE GROUP AG;0,06;CH0012138530;Financiële waarden;Zwitserland
INDUSTRIA DE DISENO TEXTIL INDITEX;0,06;ES0148396007;Luxe-consumentengoederen;Spanje
PRUDENTIAL FINANCIAL INC;0,06;US7443201022;Financiële waarden;Verenigde Staten
KONINKILIJKE DSM NV;0,06;NL0000009827;Materialen;Nederland
